"Informasi Rekening - Mutasi Rekening"," "," "," "," ",

"No. rekening : 4363005287"
"Nama : SENTRAL TEHNOLOGI MANAGE"
"Periode : 01/11/2025 - 30/11/2025"
"Kode Mata Uang : Rp"
"Tanggal Transaksi","Keterangan","Cabang","Jumlah","Saldo"
"27/11","TRSF E-BANKING DB 2711/FTSCY/WS95051 65000000.00 piutang PT Sustain Gaji November 25 SENTRAL SUSTAINABI  ","0436","65,000,000.00 DB","154,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","159,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","164,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","169,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","174,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","179,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","184,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","189,595,197.77"
"27/11","BI-FAST CR TRANSFER   DR 008 EVOLUZIONE TYRES     ","0000","5,000,000.00 CR","194,595,197.77"
"28/11","DB OTOMATIS IBSPTSETMA SMEMFTS EFT82929 04360091    ","0000","119,497,725.00 DB","75,097,472.77"
"28/11","KR OTOMATIS LLG-PT BANK SMBC I MITSUI KINZOKU ACT 288/STM/2025 251128001398816777   ","0938","10,900,000.00 CR","85,997,472.77"
"28/11","BI-FAST CR TRANSFER   DR 009 ELSA NUGRAHENI     ","0000","48,559,000.00 CR","134,556,472.77"
"28/11","BYR VIA E-BANKING       ","0206","43,131,245.00 DB","91,425,227.77"
"28/11","TRSF E-BANKING CR 2811/FTSCY/WS95051 60000000.00 Piutang STM SENTRAL TEHNOLOGI   ","0436","60,000,000.00 CR","151,425,227.77"
"28/11","TRSF E-BANKING DB 2811/FTSCY/WS95051 150000000.00 Piutang Pt Sustain Gaji dan PPN SENTRAL SUSTAINABI  ","0436","150,000,000.00 DB","1,425,227.77"
"30/11","BIAYA ADM       ","0000","30,000.00 DB","1,395,227.77"
"30/11","BUNGA       ","0000","25,137.45 CR","1,420,365.22"
"30/11","PAJAK BUNGA       ","0000","5,027.49 DB","1,415,337.73"
"Saldo Awal : 56,358,506.77"
"Mutasi Debet : 769,581,025.49","28"
"Mutasi Kredit : 714,637,856.45","47"
"Saldo Akhir : 1,415,337.73"

