id,id_detail_plan_tagih,id_top,id_spk_penawaran,id_penawaran,term_payment,persen_payment,nominal_payment,desc_payment,tgl_plan_tagih,urutan,tanggal_actual_plan_tagih,tagih_mundur,alasan_mundur,file_surat_mundur,file_laporan_progress,macet,sts_invoice,created_by,created_date
, , ,082/STM/MKT-SPK/VI/23, ,Penagihan 1,30%,48000000, ,2025-06-23, ,2025-06-23,, , , , , , ,
, , ,082/STM/MKT-SPK/VI/23, ,Penagihan 2,20%,32000000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,082/STM/MKT-SPK/VI/23, ,Penagihan 3,20%,32000000, ,2025-08-04, ,2025-08-04,, , , , , , ,
, , ,082/STM/MKT-SPK/VI/23, ,Penagihan 4,20%,32000000, ,2025-11-21, ,2025-11-21,, , , , , , ,
, , ,082/STM/MKT-SPK/VI/23, ,Penagihan 5,10%,16000000, ,2023-08-02, ,2023-08-02,, , , , , , ,
, , ,082/STM/MKT-SPK/VII/25, ,Penagihan 1,30%,129000000, ,2023-09-04, ,2023-09-04,, , , , , , ,
, , ,082/STM/MKT-SPK/VII/25, ,Penagihan 2,30%,129000000, ,2023-10-04, ,2023-10-04,, , , , , , ,
, , ,082/STM/MKT-SPK/VII/25, ,Penagihan 3,40%,172000000, ,2023-11-01, ,2023-11-01,, , , , , , ,
, , ,085/STM/MKT-SPK/VII/23, ,Penagihan 1,30%,25500000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,085/STM/MKT-SPK/VII/23, ,Penagihan 2,30%,25500000, ,2025-10-20, ,2025-10-20,, , , , , , ,
, , ,085/STM/MKT-SPK/VII/23, ,Penagihan 3,30%,25500000, ,2025-12-04, ,2025-12-04,, , , , , , ,
, , ,085/STM/MKT-SPK/VII/23, ,Penagihan 4,10%,8500000, ,2026-02-01, ,,, , , , , , ,
, , ,085/STM/MKT-SPK/VII/24Rev.01, ,Penagihan 1,50%,110000000, ,2023-08-28, ,2023-08-28,, , , , , , ,
, , ,085/STM/MKT-SPK/VII/24Rev.01, ,Penagihan 2,50%,110000000, ,2023-10-04, ,2023-10-04,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/23, ,Penagihan 1,40%,82539000, ,2024-01-05, ,2024-01-05,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/23, ,Penagihan 2,30%,61904250, ,2026-01-01, ,,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/23, ,Penagihan 3,30%,61904250, ,2025-07-17, ,2025-07-17,, , , , , , ,
